Total_Children,Available_Caregivers,Shelter_Capacity,Emergency_Cases,Average_Stay_Days,Budget,Region,Age_Group,Care_Load
207,18,250,27,164,252192,East,Teen,High
60,12,300,20,134,77156,North,Teen,Low
176,58,339,31,92,217631,East,Teen,Medium
34,6,49,5,113,202537,North,Child,Low
84,60,318,0,63,92120,West,Teen,Low
28,65,129,20,81,394897,West,Child,Low
148,26,281,3,18,60190,South,Teen,Low
155,39,106,2,55,113394,North,Teen,Low
82,20,164,29,143,317479,West,Child,Medium
158,54,202,30,82,235711,West,Child,Medium
100,47,230,33,84,206850,South,Teen,Medium
182,21,246,18,14,262213,South,Child,Medium
280,62,237,19,84,461775,South,Teen,High
250,6,103,22,128,485557,North,Teen,High
60,8,40,39,38,332701,East,Child,Medium
47,43,316,24,125,413236,North,Child,Low
154,10,285,14,84,303220,South,Child,Medium
220,73,41,37,57,486997,East,Teen,High
287,73,107,22,160,291745,West,Child,High
52,24,201,1,22,271525,North,Child,Low
67,68,125,14,158,409218,South,Teen,Low
81,20,335,34,106,70575,South,Child,Medium
235,55,302,9,139,384992,East,Child,Medium
118,41,208,13,177,303947,North,Child,Low
191,77,93,26,102,425360,West,Child,Medium
233,73,161,13,49,54616,West,Teen,Medium
54,46,301,34,39,245980,East,Child,Low
246,61,348,32,118,214835,East,Teen,High
120,70,138,0,25,345268,West,Teen,Low
150,13,302,33,160,183662,East,Child,High
276,68,197,18,100,211942,East,Teen,Medium
24,26,209,23,48,59534,North,Child,Low
237,38,87,3,84,320065,East,Teen,Medium
274,59,108,35,60,444907,South,Child,High
226,33,90,12,142,354186,South,Teen,Medium
34,42,150,31,155,101209,South,Teen,Low
61,22,236,8,147,249512,East,Teen,Low
198,75,63,38,59,290763,West,Teen,Medium
82,69,99,15,47,365747,South,Teen,Low
250,5,46,2,54,94377,North,Teen,High
260,8,49,19,10,89705,East,Child,High
71,8,344,9,165,146492,West,Teen,Low
115,31,98,21,66,199836,West,Child,Medium
241,47,244,2,59,327927,East,Teen,Medium
250,63,190,10,171,320659,East,Child,Medium
256,36,131,24,144,183142,North,Teen,High
162,37,235,7,120,394994,East,Teen,Low
190,32,174,8,35,292122,East,Teen,Medium
48,59,86,14,78,194843,West,Teen,Low
55,64,112,31,38,408920,South,Teen,Low
32,74,298,2,173,114206,South,Teen,Low
179,66,216,3,14,292220,West,Teen,Low
206,38,35,29,56,395508,East,Teen,High
262,60,139,12,82,160532,North,Child,Medium
105,17,167,20,7,271586,South,Child,Medium
85,60,80,18,165,168090,East,Teen,Low
189,22,80,38,139,70936,South,Child,High
64,58,116,21,8,403762,West,Teen,Low
81,47,97,19,171,461121,South,Child,Low
153,43,113,36,52,446314,West,Teen,Medium
47,65,71,30,78,77020,West,Child,Low
127,46,248,9,83,172043,West,Child,Low
63,22,86,17,148,494555,North,Teen,Low
147,27,255,38,170,323129,East,Child,High
250,58,225,19,8,189355,West,Teen,Medium
209,34,277,17,8,179100,West,Teen,Medium
244,62,195,10,124,169635,South,Child,Medium
140,72,91,21,123,358467,East,Teen,Low
135,71,292,17,159,87708,North,Child,Low
252,75,141,33,21,382442,North,Child,High
278,22,282,22,100,412201,South,Child,High
217,11,228,0,74,55054,North,Child,Medium
156,44,207,9,101,259884,South,Child,Low
184,74,55,0,12,431724,East,Child,Low
244,69,275,37,118,121317,South,Teen,High
253,72,48,38,9,375448,South,Child,High
191,53,294,8,51,328615,West,Child,Low
171,56,346,30,44,264633,North,Child,Medium
179,33,49,6,126,151266,East,Teen,Medium
115,25,135,16,139,252021,East,Teen,Medium
252,13,266,34,144,437166,West,Teen,High
199,51,335,36,98,254028,South,Child,High
132,46,275,17,157,220750,East,Child,Low
71,55,110,32,32,235397,East,Child,Low
287,60,179,3,175,338671,South,Teen,Medium
132,55,39,22,81,355394,South,Teen,Low
120,74,253,10,179,169917,East,Teen,Low
132,24,293,8,53,324173,South,Child,Low
100,31,178,29,90,91583,North,Child,Medium
206,42,307,7,58,414205,East,Teen,Medium
132,76,303,39,22,415244,South,Child,Medium
21,69,223,4,31,118147,East,Teen,Low
149,58,201,11,76,189425,East,Teen,Low
239,28,294,0,138,93042,West,Teen,Medium
73,51,339,14,126,405269,North,Child,Low
243,75,55,24,109,222068,North,Teen,Medium
244,67,55,17,73,272029,West,Teen,Medium
145,61,63,37,75,126604,West,Child,Medium
149,59,293,25,154,105918,East,Child,Medium
72,64,167,39,179,434369,North,Teen,Low
191,66,333,2,121,301056,West,Child,Low
237,34,212,21,36,118882,South,Child,High
179,26,271,25,113,86822,East,Child,High
217,79,83,18,101,360904,North,Child,Medium
266,33,197,38,5,54200,East,Teen,High
222,45,148,35,178,97259,East,Child,High
203,46,172,20,173,58527,South,Teen,Medium
142,69,110,25,112,322679,South,Child,Low
274,35,274,12,118,461160,West,Child,High
299,34,91,35,45,483506,South,Teen,High
117,22,75,23,12,161477,North,Child,Medium
217,21,116,25,164,250772,West,Child,High
259,42,128,20,34,324582,North,Teen,High
163,18,324,17,50,376488,North,Teen,Medium
116,60,82,14,109,269712,West,Teen,Low
220,26,221,14,100,170127,South,Child,High
143,71,109,5,65,120388,East,Child,Low
206,60,45,30,145,302355,South,Child,Medium
278,23,223,27,93,384393,North,Teen,High
167,61,170,7,172,373227,North,Child,Low
271,48,137,28,130,249791,West,Teen,High
166,39,332,20,65,343498,North,Teen,Medium
167,5,294,16,124,174365,West,Teen,High
218,56,319,23,176,260883,West,Teen,Medium
147,74,238,35,125,199865,South,Teen,Medium
58,41,194,30,176,480282,North,Child,Low
148,69,349,33,52,265526,South,Teen,Medium
286,55,181,1,63,121135,East,Teen,Medium
170,5,319,2,15,475987,South,Teen,Medium
118,25,297,29,29,194512,North,Teen,Medium
282,57,180,7,50,323433,East,Child,Medium
271,20,236,6,58,421488,North,Child,High
163,65,284,11,38,161568,East,Child,Low
131,58,170,18,88,361322,North,Teen,Low
79,44,125,25,139,251769,South,Child,Low
21,30,256,27,66,116500,North,Child,Low
273,69,222,14,61,429928,West,Teen,Medium
159,78,332,13,97,361367,West,Teen,Low
56,68,343,13,120,481585,South,Teen,Low
179,47,147,2,80,195256,South,Teen,Low
28,21,34,28,137,118483,East,Teen,Low
252,63,272,5,80,289883,South,Child,Medium
118,27,50,22,167,431322,West,Child,Medium
166,11,181,27,41,194228,South,Child,High
227,48,157,13,148,445627,West,Child,Medium
150,57,153,13,34,327818,South,Child,Low
171,75,175,19,46,451524,West,Teen,Low
73,38,306,12,65,158707,East,Child,Low
139,50,339,26,52,118460,North,Child,Medium
180,72,181,34,88,50576,North,Child,Medium
135,20,140,1,97,195713,West,Child,Low
94,75,145,39,72,270899,South,Child,Low
132,23,217,23,50,410408,South,Teen,Medium
123,6,86,28,117,363051,North,Teen,High
273,14,280,2,32,484355,West,Child,High
246,54,179,3,81,134325,South,Teen,Medium
131,16,191,1,125,351795,North,Child,Low
118,74,149,19,7,238387,West,Child,Low
172,26,99,14,41,143435,East,Teen,Medium
213,36,128,31,151,458874,South,Teen,High
182,5,196,0,96,88907,South,Teen,Medium
227,58,327,37,87,260792,West,Child,High
188,62,180,34,21,113917,North,Child,Medium
180,74,31,6,125,474963,West,Child,Low
87,22,181,12,91,308700,North,Teen,Low
296,10,94,0,44,257101,West,Teen,High
154,49,98,13,77,495356,East,Child,Low
214,27,150,28,33,104936,South,Teen,High
147,27,138,2,46,76178,North,Teen,Low
52,30,345,23,33,442758,East,Child,Low
195,11,276,0,70,149423,West,Teen,Medium
41,48,122,9,128,248822,North,Teen,Low
257,31,297,12,149,58000,North,Child,High
177,30,132,35,124,451281,East,Child,High
57,40,141,8,113,158407,West,Child,Low
249,59,333,13,163,182157,East,Teen,Medium
70,68,91,35,96,99325,West,Child,Low
283,61,329,9,116,424012,East,Teen,Medium
46,73,165,39,56,198694,East,Child,Low
245,65,84,22,171,176190,East,Child,Medium
296,6,137,34,64,376046,East,Child,High
116,59,332,6,98,316978,West,Teen,Low
166,42,287,34,148,397877,South,Child,Medium
23,33,282,1,102,62008,East,Child,Low
54,30,251,14,18,390642,West,Teen,Low
211,39,196,8,174,97229,South,Teen,Medium
68,71,189,16,55,302844,North,Child,Low
36,33,195,38,28,162892,North,Child,Medium
191,38,234,17,111,189084,East,Child,Medium
239,45,296,14,175,363269,North,Teen,Medium
177,45,167,17,77,135702,East,Teen,Medium
65,27,277,23,151,396308,East,Child,Low
25,75,84,22,88,190921,South,Child,Low
118,7,238,11,65,222444,North,Child,Medium
252,62,46,22,110,63767,East,Child,Medium
56,36,97,20,98,483205,North,Teen,Low
299,35,162,25,67,483798,South,Teen,High
200,47,217,7,158,487586,North,Teen,Medium
114,11,337,29,99,95052,South,Child,Medium
118,5,167,33,39,297142,South,Child,High
207,65,203,1,71,294886,South,Teen,Low
135,18,126,4,60,149427,East,Child,Low
210,56,200,30,44,226361,West,Teen,Medium
272,10,183,32,161,180591,East,Child,High
180,14,212,3,138,464781,North,Child,Medium
275,75,271,5,133,234236,East,Child,Medium
147,34,333,22,28,412691,East,Teen,Medium
37,25,314,18,106,118125,West,Child,Low
242,64,56,7,166,362425,North,Child,Medium
73,78,89,38,119,291090,South,Teen,Low
77,67,231,12,139,387429,South,Child,Low
193,46,279,0,79,251109,North,Child,Low
299,55,98,5,15,73423,East,Teen,Medium
133,68,50,6,40,134693,West,Child,Low
170,60,181,26,152,265777,West,Teen,Medium
146,45,131,14,67,401004,North,Child,Low
174,36,124,33,84,51706,North,Child,High
292,19,258,22,92,363897,East,Teen,High
123,66,154,23,34,405899,West,Child,Low
265,31,287,14,162,353478,North,Teen,High
195,32,265,34,107,117148,East,Child,High
58,68,191,3,116,263446,East,Teen,Low
189,63,71,36,88,152601,North,Child,Medium
266,62,305,16,154,277035,West,Child,Medium
45,6,97,30,109,362771,South,Child,Medium
32,40,202,37,25,65546,East,Child,Low
55,75,154,9,41,229807,South,Child,Low
192,17,199,26,31,386725,East,Teen,High
39,19,76,5,106,206371,West,Child,Low
283,64,290,5,167,93347,South,Teen,Medium
161,26,246,14,42,91221,North,Teen,Medium
162,67,334,3,64,221848,East,Child,Low
111,79,153,39,74,410347,North,Child,Low
234,78,322,6,36,65948,North,Child,Low
70,29,191,25,84,75118,West,Teen,Low
172,52,230,30,159,304502,North,Child,Medium
205,47,304,1,135,415873,East,Child,Low
82,42,235,27,106,176677,North,Child,Low
209,45,69,12,106,67021,North,Child,Medium
144,49,302,17,34,98215,East,Child,Low
169,44,217,29,26,313367,North,Child,Medium
77,21,122,10,23,217182,West,Teen,Low
199,61,71,12,35,140162,East,Child,Medium
189,6,136,23,24,146453,West,Teen,High
290,66,94,28,151,333670,North,Teen,High
73,13,338,4,134,255464,South,Child,Low
120,72,164,34,44,88829,West,Child,Low
283,21,53,18,171,101862,West,Teen,High
72,54,57,12,95,177048,North,Child,Low
79,44,91,4,76,463552,South,Child,Low
127,62,302,13,113,80796,East,Child,Low
24,79,258,37,31,470383,South,Child,Low
122,25,49,21,83,66818,East,Teen,Medium
215,22,32,8,144,482108,North,Teen,Medium
281,59,247,39,82,336632,South,Teen,High
66,33,336,25,21,219024,North,Child,Low
163,28,165,4,88,396048,West,Teen,Medium
288,78,32,28,142,456439,South,Teen,High
143,21,222,21,151,146931,East,Teen,Medium
125,22,102,2,162,211333,West,Child,Low
177,46,147,27,162,125520,East,Child,Medium
166,49,183,37,157,118334,West,Child,Medium
164,21,238,13,92,450819,East,Child,Medium
139,77,63,13,78,423731,East,Child,Low
294,18,166,10,131,127240,North,Teen,High
111,53,347,8,106,292696,West,Teen,Low
77,33,149,37,100,84261,North,Child,Medium
248,8,144,5,167,167367,North,Child,High
136,24,42,0,55,327851,North,Teen,Low
298,51,98,24,105,330153,North,Teen,High
146,13,286,15,75,240835,East,Child,Medium
148,31,118,14,75,364313,North,Child,Medium
77,19,76,33,159,68231,North,Child,Medium
141,23,289,16,14,53246,North,Teen,Medium
20,56,257,2,101,239954,East,Teen,Low
258,30,209,2,175,341969,West,Child,Medium
115,30,39,36,138,459141,East,Child,Medium
145,30,313,16,10,51316,East,Teen,Medium
137,50,155,37,81,133870,East,Teen,Medium
67,53,163,0,81,146608,West,Teen,Low
108,57,184,6,6,164911,North,Child,Low
256,7,277,25,55,445242,North,Child,High
291,70,169,38,151,248155,West,Child,High
208,46,347,18,125,327433,West,Child,Medium
211,23,205,29,132,414226,South,Teen,High
88,21,203,13,6,98886,North,Teen,Low
297,37,103,12,55,115020,East,Child,High
266,53,172,19,158,351423,East,Child,High
95,60,321,25,74,418205,North,Child,Low
173,67,141,26,24,135643,West,Child,Medium
163,7,235,24,27,411971,South,Child,High
105,53,160,8,58,440233,East,Child,Low
204,59,139,11,147,470495,South,Child,Medium
239,30,96,9,138,461572,East,Child,Medium
88,76,115,5,167,243607,East,Child,Low
66,56,304,33,140,115200,North,Child,Low
113,11,256,18,61,473259,East,Teen,Medium
257,50,39,5,119,292950,South,Teen,Medium
223,50,317,1,153,407646,South,Teen,Medium
237,20,141,14,127,193867,North,Teen,High
58,28,53,16,40,132536,East,Child,Low
119,65,320,15,75,267507,South,Teen,Low
273,58,197,27,73,268183,West,Teen,High
241,66,138,20,62,242585,North,Teen,Medium
42,5,219,7,67,465374,West,Teen,Low
269,53,225,9,20,229702,South,Teen,Medium
29,29,62,9,138,69005,West,Child,Low
265,14,234,9,82,160737,North,Teen,High
119,20,341,8,126,396157,West,Teen,Low
199,62,211,27,6,305716,South,Child,Medium
242,76,176,23,118,266168,West,Teen,Medium
269,33,297,18,118,272316,West,Child,High
166,10,40,32,128,221324,West,Teen,High
115,20,99,3,150,95176,East,Child,Low
276,24,285,2,167,165754,South,Child,High
23,75,248,11,90,277243,West,Child,Low
35,47,326,17,171,181777,South,Teen,Low
299,30,288,22,133,363654,West,Teen,High
266,75,32,19,169,358437,North,Child,Medium
277,37,113,5,25,430366,North,Child,High
179,30,185,33,5,439091,North,Child,High
171,49,180,1,136,356564,West,Child,Low
197,67,205,29,62,463368,South,Child,Medium
182,71,224,8,5,147391,North,Child,Low
52,56,136,26,145,109278,East,Child,Low
198,72,163,33,178,498346,North,Child,Medium
120,30,305,39,179,110216,North,Child,Medium
287,79,184,23,11,123699,East,Child,High
84,6,306,16,55,312353,North,Teen,Medium
187,18,265,28,7,448050,West,Child,High
62,34,269,35,158,474728,West,Teen,Medium
63,53,42,11,35,112485,North,Child,Low
31,16,64,30,104,495175,South,Teen,Low
114,48,76,8,66,381642,South,Child,Low
272,37,243,18,158,456244,North,Teen,High
261,17,175,16,112,305905,East,Child,High
54,30,188,1,59,363686,West,Child,Low
234,25,154,39,160,202975,West,Child,High
109,32,139,4,48,454933,West,Teen,Low
283,52,66,38,85,80545,North,Child,High
112,44,306,15,170,295605,West,Child,Low
109,70,43,16,34,347356,North,Child,Low
134,77,261,26,70,421223,North,Teen,Low
124,27,345,6,140,353244,South,Teen,Low
215,52,153,7,18,311056,East,Child,Medium
133,6,308,7,105,177215,East,Child,Medium
94,24,140,22,110,102016,East,Teen,Medium
236,63,153,31,107,299937,West,Teen,High
296,50,59,17,66,478591,South,Child,High
268,7,144,37,79,201392,South,Child,High
183,59,119,11,83,69301,North,Child,Low
211,16,241,14,111,232442,South,Teen,High
246,44,67,27,100,395861,North,Teen,High
196,70,112,37,44,321312,South,Child,Medium
118,20,56,30,145,304531,North,Teen,Medium
55,38,246,8,111,118109,West,Teen,Low
115,48,244,7,21,331117,South,Child,Low
171,10,250,18,19,310205,East,Child,High
170,68,44,7,165,479267,North,Child,Low
209,26,288,33,20,223831,South,Teen,High
243,22,295,3,17,267409,South,Teen,Medium
56,16,149,30,155,405203,North,Child,Medium
287,56,157,37,40,149017,South,Teen,High
202,55,240,2,47,302980,East,Teen,Low
32,75,40,34,118,201023,North,Teen,Low
298,52,205,18,78,212377,North,Teen,High
236,23,162,28,85,393259,North,Child,High
292,10,349,9,98,125406,North,Teen,High
81,31,43,11,145,265139,North,Child,Low
103,57,79,29,34,310224,East,Teen,Low
236,52,101,29,34,321253,North,Child,High
206,11,98,17,14,76842,East,Teen,High
38,63,45,23,103,453932,East,Child,Low
196,73,85,31,98,264798,East,Child,Medium
119,15,134,8,43,491801,North,Teen,Medium
252,19,161,23,41,310117,East,Teen,High
95,68,77,25,135,147969,North,Child,Low
284,7,277,2,93,419199,East,Teen,High
225,73,302,22,166,96408,North,Child,Medium
242,27,140,10,170,158407,South,Child,High
71,57,67,9,18,86530,South,Child,Low
163,41,269,35,43,160047,East,Child,High
88,13,347,12,134,371874,West,Teen,Low
118,19,150,28,47,125623,West,Teen,Medium
44,7,77,37,135,127658,South,Teen,Medium
72,74,39,12,173,343042,East,Teen,Low
170,21,262,25,12,376052,East,Teen,High
163,30,65,19,100,393521,East,Child,Medium
76,25,33,4,69,403262,West,Teen,Low
58,76,73,19,83,369536,South,Teen,Low
128,25,85,13,136,387722,East,Teen,Medium
200,15,71,13,72,76505,South,Child,High
61,42,284,7,96,138830,South,Teen,Low
205,76,257,12,14,187245,North,Teen,Low
242,39,143,23,79,134052,West,Teen,High
141,18,266,14,155,319076,South,Teen,Medium
152,18,203,0,65,395589,North,Teen,Low
182,14,284,21,51,211313,West,Child,High
234,16,306,33,7,197784,East,Teen,High
240,42,98,39,107,79105,East,Teen,High
254,38,259,2,21,157083,North,Teen,Medium
165,45,96,25,26,80382,East,Child,Medium
258,14,333,13,120,400036,North,Teen,High
95,21,65,7,95,235592,North,Teen,Low
28,21,188,15,148,69589,East,Child,Low
93,71,178,20,108,220673,West,Teen,Low
272,66,56,9,7,432973,North,Child,Medium
249,5,101,24,56,139452,West,Teen,High
26,16,277,37,115,483891,West,Child,Medium
193,8,130,21,165,215438,North,Child,High
160,46,219,3,46,447067,West,Child,Low
187,17,125,3,134,273656,North,Child,Medium
189,8,311,29,43,188654,East,Teen,High
141,73,307,1,50,290385,East,Child,Low
213,23,46,28,52,221663,East,Child,High
24,6,292,35,31,305360,East,Teen,Medium
48,16,136,20,19,448723,East,Teen,Low
184,78,97,20,11,187006,West,Child,Low
155,10,157,20,113,91971,West,Child,Medium
164,12,322,3,46,316803,West,Teen,Medium
236,55,323,0,13,316542,South,Child,Medium
151,15,125,25,109,56242,South,Teen,High
89,67,30,1,138,471836,North,Teen,Low
271,61,327,8,80,272513,South,Child,Medium
294,16,209,17,34,454012,East,Teen,High
201,77,210,10,88,228217,East,Teen,Low
186,6,264,24,130,180014,East,Child,High
110,12,348,25,88,285987,North,Teen,Medium
221,15,37,35,58,228615,North,Teen,High
38,57,56,34,114,244886,North,Child,Low
58,14,337,37,31,286088,North,Teen,Medium
145,12,175,2,88,101175,West,Teen,Medium
192,40,120,34,11,218347,North,Child,High
160,18,301,39,172,63937,North,Teen,High
261,58,34,21,108,200641,South,Teen,High
239,25,111,7,76,243019,West,Teen,Medium
145,54,248,14,6,324487,East,Teen,Low
77,43,147,6,146,369019,South,Child,Low
167,24,110,18,142,96803,North,Teen,Medium
20,11,99,39,54,372081,East,Child,Medium
209,13,144,16,150,127069,East,Teen,High
210,5,292,0,22,492563,East,Child,Medium
136,30,335,28,20,474348,South,Teen,Medium
153,42,171,12,56,474572,West,Child,Low
77,42,236,28,163,65438,West,Child,Low
63,65,140,5,88,207438,East,Teen,Low
192,48,332,4,155,391648,North,Teen,Low
179,48,141,33,100,329634,West,Child,Medium
192,78,72,10,46,200245,West,Child,Low
168,66,314,8,117,191448,North,Child,Low
99,10,157,37,128,267776,South,Child,High
232,21,214,39,19,378398,South,Child,High
222,55,258,8,94,417524,North,Child,Medium
271,42,250,7,176,86763,South,Teen,Medium
248,28,146,39,46,377985,East,Teen,High
183,55,99,2,49,353491,West,Child,Low
246,14,99,12,98,91684,South,Child,High
166,76,139,18,111,80711,East,Teen,Low
39,25,161,33,167,326321,East,Child,Medium
66,74,85,31,26,227042,East,Child,Low
252,61,118,15,132,205642,East,Teen,Medium
33,43,166,35,42,478580,East,Teen,Low
162,37,160,17,101,228681,North,Child,Medium
20,63,247,13,105,462035,West,Teen,Low
73,22,205,29,11,437364,West,Child,Medium
278,60,200,1,48,81391,North,Teen,Medium
163,61,129,12,80,65788,North,Child,Low
31,52,158,26,11,101055,East,Child,Low
243,46,86,16,64,164187,South,Child,Medium
291,31,210,30,5,430215,West,Child,High
175,78,275,14,66,466781,South,Teen,Low
27,56,173,19,91,180101,West,Teen,Low
141,46,80,4,93,398606,East,Teen,Low
183,36,247,6,22,243277,South,Child,Medium
109,30,133,17,112,63376,West,Teen,Low
155,29,84,10,139,202947,West,Child,Medium
205,79,286,31,119,359750,East,Child,Medium
197,27,185,26,58,390537,South,Teen,High
47,61,82,25,71,304047,East,Teen,Low
239,56,216,36,97,375140,South,Child,High
60,35,179,27,142,313427,South,Child,Low
247,68,293,1,63,130456,West,Teen,Low
211,75,279,19,73,115783,North,Teen,Medium
164,37,327,3,102,408526,South,Teen,Low
220,6,240,12,12,384322,South,Teen,High
231,22,54,23,59,329509,East,Teen,High
239,51,323,37,138,424399,South,Child,High
259,37,181,39,133,199021,South,Child,High
65,39,53,28,60,428973,South,Child,Low
54,55,281,35,108,214575,South,Teen,Low
272,22,89,1,118,438411,South,Child,High
101,76,95,17,92,388531,North,Teen,Low
275,34,82,7,142,129942,West,Teen,High
216,48,135,14,112,196000,South,Teen,Medium
29,57,125,16,27,197904,East,Child,Low
261,14,205,22,148,450750,East,Child,High
270,56,68,1,105,445051,South,Child,Medium
24,53,197,5,148,382395,South,Child,Low
138,15,71,28,60,214453,South,Teen,Medium
84,70,133,26,112,305385,North,Teen,Low
165,62,233,36,99,104780,West,Child,Medium
243,40,37,33,10,116412,East,Child,High
258,37,311,17,34,290143,North,Teen,High
196,51,72,9,133,190397,North,Child,Medium
286,17,139,37,55,472662,South,Child,High
82,44,239,16,110,148975,West,Teen,Low
236,72,266,12,93,179788,South,Child,Medium
196,46,348,26,131,311208,East,Child,Medium
117,23,78,1,50,303199,West,Child,Low
124,23,144,33,125,372806,South,Teen,Medium
118,62,184,30,153,410808,East,Child,Low
25,27,166,22,103,130249,North,Child,Low
216,58,196,6,170,106525,East,Teen,Medium
152,69,228,37,73,453800,East,Teen,Medium
278,16,100,32,67,447117,East,Teen,High
42,28,36,11,54,297543,West,Teen,Low
72,38,229,11,16,163094,North,Teen,Low
184,57,96,18,73,368347,West,Teen,Medium
221,12,167,8,77,263058,North,Teen,High
102,22,271,9,48,137597,South,Child,Low
164,61,242,16,56,314234,South,Teen,Low
104,9,210,39,13,470068,East,Teen,High
97,30,283,38,122,334598,East,Teen,Medium
20,34,130,9,14,105084,West,Child,Low
70,58,116,11,50,304185,North,Child,Low
192,17,214,14,107,239638,North,Teen,Medium
224,33,120,30,41,147103,North,Teen,High
279,7,277,14,56,214895,East,Teen,High
53,62,243,27,103,475223,East,Child,Low
114,6,278,3,85,416704,North,Teen,Low
91,79,155,35,17,457357,East,Child,Low
58,32,33,0,138,62746,North,Child,Low
173,6,117,33,105,315491,West,Teen,High
269,11,180,16,132,452577,South,Child,High
181,30,205,38,52,161972,North,Teen,High
137,20,240,37,164,316245,East,Child,High
278,27,288,32,15,417955,West,Child,High
287,44,120,20,85,98095,East,Child,High
73,64,288,25,9,484669,East,Teen,Low
255,77,220,35,10,151483,East,Child,High
241,36,110,4,121,475884,North,Child,Medium
270,19,167,32,153,291411,West,Teen,High
131,17,155,0,46,170902,North,Child,Low
274,9,338,5,85,276218,South,Child,High
226,79,259,36,159,329891,North,Teen,Medium
248,78,339,1,7,196081,South,Teen,Low
85,56,49,4,64,401331,West,Teen,Low
94,45,78,25,97,444272,West,Child,Low
122,57,164,12,53,476126,North,Child,Low
211,54,58,11,38,258115,North,Child,Medium
271,19,77,4,41,202287,East,Child,High
245,11,298,1,46,273957,South,Child,High
117,44,32,3,5,80375,East,Teen,Low
268,32,287,26,136,453292,East,Child,High
185,36,45,9,107,298024,West,Teen,Medium
49,19,123,12,146,428756,North,Child,Low
266,74,163,1,114,422685,West,Child,Medium
125,69,330,25,150,216321,North,Teen,Low
70,8,162,14,38,256690,West,Child,Low
100,15,341,9,5,90664,West,Child,Low
152,30,61,21,57,88779,West,Teen,Medium
157,65,334,39,26,371456,South,Teen,Medium
203,41,298,24,154,229170,West,Child,Medium
292,27,54,14,20,61414,South,Teen,High
88,44,345,12,160,217990,West,Child,Low
53,27,88,7,123,459092,North,Teen,Low
281,20,242,20,90,305423,South,Child,High
72,65,185,20,46,173938,North,Teen,Low
224,72,343,21,75,253612,North,Teen,Medium
145,35,305,32,121,321342,North,Child,Medium
254,57,239,26,167,143302,South,Teen,High
62,29,86,39,24,149524,East,Teen,Medium
259,48,214,21,112,218501,South,Teen,High
130,16,83,29,134,415314,East,Child,Medium
268,13,238,8,11,248405,South,Teen,High
170,16,322,34,13,259773,West,Teen,High
